entryID,name,author,material,condition,price
b201,Behind Her Eyes: A Suspenseful Psychological Thriller,Sarah Pinborough,Paperback,Used,$16.99
b202,Wife Between Us,"Greer Hendricks, Sarah Pekkanen",Paperback,Used,$16.99
b203,Behind Closed Doors,B A Paris,Paperback,Used,$17.99
b204,All the Devils Are Here (Chief Inspector Gamache #16),Louise Penny,Paperback,Used,$17.99
b205,Madness of Crowds,Louise Penny,Paperback,New,$17.99
b206,World of Curiosities,Louise Penny,Paperback,New,$19.00
b207,Exiles,Jane Harper,Hardcover,Used,$27.99
b208,Better Man A Chief Inspector Gamache Novel,Louise Penny,Not Specified,Used,$9.99
b209,Rock Paper Scissors,Alice Feeney,Paperback,New,$17.99
b210,Silent Patient,Alex Michaelides,Hardcover,Used,$27.99
b211,The Maidens,Alex Michaelides,Hardcover,Used,$27.99
b212,Maidens,Alex Michaelides,Paperback,Used,$17.99
b213,All the Devils Are Here,Louise Penny,Not Specified,New,$9.99
b214,Flicker in the Dark,Stacy Willingham,Hardcover,Used,$27.99
b215,Flicker in the Dark A Novel,Stacy Willingham,Paperback,Used,$17.99
b216,Finlay Donovan Is Killing It A Mystery,Elle Cosimano,Paperback,Used,$17.99
b217,Lavender House,Lev AC Rosen,Hardcover,New,$26.99
b218,Bark to the Future,Spencer Quinn,Paperback,New,$18.99
b219,Madness of Crowds,Louise Penny,Not Specified,Used,$9.99
b220,Night Shift,Alex Finlay,Not Specified,Used,$9.99
b221,Shadow House,Anna Downes,Paperback,Used,$8.98
b222,What Lies in the Woods,Kate Alice Marshall,Hardcover,Used,$28.99
b223,Two Nights in Lisbon,Chris Pavone,Paperback,New,$19.00
b224,Old Woman with the Knife,Gu Byeong-Mo,Hardcover,Used,$19.99
b225,Lock Up A Novel,John Banville,Hardcover,New,$30.00
b226,The No. 1 Ladies' Detective Agency,"McCall Smith, Alexander",Paperback,Used,$16.00
b227,Out,Natsuo Kirino,Paperback,Used,$18.00
b228,Bullet Train,"Kotaro Isaka, Sam Malissa",Paperback,Used,$17.00
b229,Little Old Lady Who Broke All the Rules,Ingelman Sundberg,Paperback,Used,$6.95
b230,Secret Place,Tana French,Paperback,Used,$9.95
b231,Murder Your Employer: The McMaster's Guide to Homicide,Rupert Holmes,Hardcover,New,$28.00
b232,The Killing Forest,Sara Blaedel,Paperback,Used,$16.99
b233,Woman in the Library,Sulari Gentill,Paperback,Used,$16.99
b234,Luckiest Girl Alive,Jessica Knoll,Paperback,Used,$17.99
b235,Fresh Brewed Murder,Emmeline Duncan,Paperback,Used,$16.95
b236,Flat White Fatality (Ground Rules #3),Emmeline Duncan,Paperback,New,$16.95
b237,Witch Upon a Star (A Witch Way Librarian Mysteries),Angela M. Sanders,Not Specified,New,$8.99
b238,"In a Dark, Dark Wood",Ruth Ware,Paperback,Used,$17.99
b239,Midnight at the Bright Ideas Bookstore,Matthew Sullivan,Paperback,Used,$18.00
b240,The Lying Game,Ruth Ware,Paperback,Used,$17.99
b241,Family Upstairs,Lisa Jewell,Paperback,Used,$17.99
b242,In a Dark Dark Wood,Ruth Ware,Not Specified,Used,$9.99
b243,Run Rose Run,"James Patterson, Dolly Parton",Paperback,Used,$18.99
b244,Desert Star,Michael Connelly,Paperback,New,$18.99
b245,The Girl on the Train,Paula Hawkins,Hardcover,Used,$26.95
b246,Central Park West A Crime Novel,James Comey,Hardcover,Used,$30.00
b247,Game On Tempting Twenty Eight,Janet Evanovich,Paperback,Used,$9.99
b248,Dark Hours,Michael Connelly,Hardcover,Used,$29.00
b249,Troubled Blood,Robert Galbraith,Paperback,Used,$18.99
b250,The Concrete Blonde: Harry Bosch 3,Michael Connelly,Not Specified,Used,$7.99
b251,Pirate Latitudes,Michael Crichton,Not Specified,Used,$9.99
b252,Two for the Dough,Janet Evanovich,Not Specified,Used,$7.99
b253,Three To Get Deadly,Janet Evanovich,Not Specified,Used,$8.99
b254,One by One,Ruth Ware,Paperback,Used,$16.99
b255,A Wanted Man: Jack Reacher 17,Lee Child,Not Specified,Used,$9.99
b256,Without Fail: Jack Reacher 6,Lee Child,Not Specified,Used,$9.99
b257,Good Girl,Mary Kubica,Paperback,Used,$17.99
b258,620 Man A Thriller,David Baldacci,Paperback,New,$18.99
b259,In the Woods,Tana French,Not Specified,Used,$9.99
b260,Silent Patient,Alex Michaelides,Book,Used,$11.95
b261,Paris Apartment,Lucy Foley,Book,Used,$14.95
b262,How to Kill Men & Get Away With It,Katy Brent,Paperback,New,$16.99
b263,Skeleton Man,Tony Hillerman,Not Specified,Used,$7.99
b264,Random,Penn Jillette,Hardcover,Used,$27.95
b265,Scorched Grace: A Sister Holiday Mystery,Margot Douaihy,Hardcover,Used,$27.95
b266,Death by Beach Read,Eva Gates,Paperback,New,$17.99
b267,Bangalore Detectives Club,Harini Nagendra,Hardcover,Used,$39.00
b268,Agatha Christie An Elusive Woman,Lucy Worsley,Hardcover,New,$29.95
b269,Clark & Division,Naomi Hirahara,Paperback,Used,$16.95
b270,Standing by the Wall The Collected Slough House Novellas,Mick Herron,Paperback,New,$16.95
b271,Agatha Christie First Lady of Crime,"H R F Keating, Agatha Christie, Sophie Hannah",Hardcover,Used,$26.95
b272,Portrait of an Unknown Lady A Novel,"Maria Gainza, Thomas Bunstead",Paperback,New,$15.95
b273,Twyford Code,Janice Hallett,Hardcover,Used,$27.00
b274,Gates of Mars Halo Trilogy 01,"Kathleen Sara McFall, Clark Daniel Hays",Paperback,New,$15.95
b275,Beer and Loathing: A Sloan Krause Mystery,Ellie Alexander,Paperback,New,$16.00
b276,The Hangman,Louise Penny,Paperback,New,$10.95
b277,Adventures of Sherlock Holmes,Arthur Conan Doyle,Paperback,Used,$11.98
b278,Decagon House Murders,"Yukito Ayatsuji, Hong Li Wong",Paperback,New,$14.95
b279,Mill House Murders The Classic Japanese Locked Room Mystery,"Yukito Ayatsuji, Ho Ling Wong",Paperback,New,$15.95
b280,Snowman,Jo Nesbo,Not Specified,Used,$6.98
b281,If We Were Villains,M L Rio,Paperback,Used,$9.95
b282,Murder on the Links A Hercule Poirot Mystery,Agatha Christie,Paperback,Used,$10.95
b283,Dream Of A Falling Eagle,George C. Chesbro,Paperback,New,$16.99
b284,Lowcountry Bordello,Susan M. Boyer,Paperback,New,$16.99
b285,Vera Kelly: Lost and Found,Rosalie Knecht,Paperback,New,$15.95
b286,The Night Flowers,Sara Herchenroether,Hardcover,New,$26.95
b287,Good Girl Bad Girl,Michael Robotham,Paperback,Used,$17.00
b288,Fox Creek,William Kent Krueger,Paperback,New,$17.99
b289,They Never Learn,Layne Fargo,Paperback,New,$17.99
b290,Night She Disappeared,Lisa Jewell,Paperback,Used,$17.99
b291,Last to Vanish,Megan Miranda,Hardcover,Used,$28.99
b292,Last to Vanish A Novel,Megan Miranda,Paperback,Used,$17.99
b293,Truth About Melody Browne A Novel,Lisa Jewell,Paperback,Used,$9.99
b294,Perfect Family,Robyn Harding,Paperback,Used,$16.99
b295,True Believer A Thriller,Jack Carr,Paperback,New,$17.99
b296,Better Off Dead,"Lee Child, Andrew Child",Not Specified,Used,$9.99
b297,Spare Room,Andrea Bartz,Hardcover,New,$28.99
b298,Paradox Hotel,Rob Hart,Paperback,Used,$18.00
b299,You Shouldnt Have Come Here,Jeneva Rose,Hardcover,Used,$26.99
b300,State Of Fear,Michael Crichton,Not Specified,Used,$7.99
b301,Sinister Pig,Tony Hillerman,Not Specified,Used,$7.99
b302,What The Dead Know,Laura Lippman,Not Specified,Used,$7.99
b303,The Redbreast: Harry Hole 3,Jo Nesbo,Paperback,Used,$16.99
b304,And Only to Deceive,"Alexander, Tasha",Paperback,Used,$14.99
b305,Nemesis: Harry Hole 4,Jo Nesbo,Paperback,Used,$16.99
b306,The Redbreast: Harry Hole 3,Jo Nesbo,Not Specified,Used,$8.99
b307,Nemesis: Harry Hole 4,Jo Nesbo,Not Specified,Used,$8.99
b308,Reamde,"Stephenson, Neal",Paperback,Used,$22.99
b309,Hercule Poirot The Complete Short Stories,Agatha Christie,Paperback,New,$25.99
b310,"Spider Woman's Daughter: Leaphorn, Chee And Manuelito 4",Anne Hillerman,Not Specified,Used,$9.99
b311,Rock with Wings,Anne Hillerman,Not Specified,Used,$9.99
b312,Tale Teller,Anne Hillerman,Not Specified,Used,$9.99
b313,Pretty Girls,Karin Slaughter,Not Specified,Used,$9.99
b314,Magpie Murders,Anthony Horowitz,Hardcover,Used,$29.99
b315,Heat 2 A Novel,"Michael Mann, Meg Gardiner",Paperback,New,$19.99
b316,The Last Mrs. Parrish,LIV Constantine,Paperback,Used,$16.99
b317,The Force - Large Print Edition,Don Winslow,Paperback,New,$27.99
b318,Sentence Is Death,Anthony Horowitz,Paperback,Used,$18.00
b319,City on Fire,Don Winslow,Paperback,New,$18.99
b320,City on Fire,Don Winslow,Hardcover,Used,$28.99
b321,Death on the Nile A Hercule Poirot Mystery,Agatha Christie,Paperback,Used,$15.99
b322,Take No Names A Novel,Daniel Nieh,Paperback,New,$18.99
b323,Kingdom of Bones A Thriller,James Rollins,Not Specified,Used,$9.99
b324,Sacred Bridge A Leaphorn Chee & Manuelito Novel,Anne Hillerman,Not Specified,Used,$9.99
b325,Stargazer,Anne Hillerman,Not Specified,Used,$9.99
b326,"Way of the Bear (Leaphorn, Chee, and Manuelito #8)",Anne Hillerman,Hardcover,New,$30.00
b327,Twist of a Knife,Anthony Horowitz,Hardcover,Used,$29.99
b328,Moonflower Murders,Anthony Horowitz,Hardcover,Used,$28.99
b329,Mysterious Affair at Styles The First Hercule Poirot Mystery,Agatha Christie,Paperback,New,$9.99
b330,The Secret of Chimneys,Agatha Christie,Paperback,New,$9.99
b331,Overboard A Novel,Sara Paretsky,Paperback,New,$18.99
b332,Moonflower Murders - Large Print Edition,Anthony Horowitz,Paperback,New,$30.99
b333,Murder Rule A Novel,Dervla McTiernan,Paperback,New,$18.99
b334,All Her Little Secrets: A Novel,Wanda M. Morris,Paperback,Used,$16.99
b335,Mystery of the Blue Train A Hercule Poirot Mystery,Agatha Christie,Paperback,New,$16.99
b336,Enigma of Room 622,"Joel Dicker, Robert Bononno",Hardcover,Used,$29.99
b337,When No One Is Watching,Alyssa Cole,Not Specified,Used,$9.99
b338,Hercule Poirots Christmas A Hercule Poirot Mystery,Agatha Christie,Paperback,New,$15.99
b339,A Line to Kill - Large Print Edition,Anthony Horowitz,Paperback,New,$29.99
b340,Act of Oblivion,Robert Harris,Hardcover,New,$28.99
